State,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Colorado,676674.0,719701.0,698285.0,725904.0,755500.0,782099.0,816130.0,715880.0,734591.0,759610.0,750109.0,766254,748707,745898
Delaware,526630.0,565910.0,502000.0,553319.0,579446.0,651734.0,612407.0,588923.0,564239.0,571376.0,547872.0,520548,437188,409463
Florida,,,,,,10300.0,201132.0,225290.0,216747.0,329127.0,381122.0,427878,467591,507467
Illinois,1783958.0,1831551.0,1709943.0,1717991.0,1798912.0,1923528.0,1983387.0,1568727.0,1428923.0,1373422.0,1477601.0,1638168,1551312,1465353
Indiana,1841842.0,2061646.0,2229414.0,2369692.0,2416572.0,2576192.0,2623939.0,2665663.0,2798195.0,2796005.0,2732773.0,2613858,2331654,2156766
Iowa,922867.0,972326.0,1024615.0,1064400.0,1105739.0,1253710.0,1363055.0,1419545.0,1380744.0,1368074.0,1423998.0,1467165,1416717,1396008
Kansas,,,,,,,,,1990.0,37788.0,44729.0,341146,365079,353539
Louisiana,1883233.0,1999586.0,2017371.0,2163041.0,2236815.0,2567415.0,2566271.0,2583834.0,2455526.0,2373930.0,2374244.0,2388767,2442900,2472502
Maine,,,,,4160.0,37517.0,43252.0,50515.0,59198.0,61667.0,59453.0,99223,126274,127269
Maryland,,,,,,,,,,27596.0,155709.0,377814,746914,931092
Michigan,1006993.0,1125144.0,1130202.0,1189264.0,1228544.0,1303303.0,1335016.0,1359585.0,1339479.0,1377929.0,1424445.0,1416734,1349504,1332783
Mississippi,2700438.0,2717259.0,2699837.0,2776970.0,2468477.0,2570884.0,2891546.0,2721139.0,2464662.0,2388997.0,2239084.0,2251090,2136624,2070157
Missouri,1100000.0,1300000.0,1330000.0,1473000.0,1532000.0,1592000.0,1592000.0,1682000.0,1735000.0,1795000.0,1815000.0,1768903,1706738,1660097
Nevada,9468599.0,9447660.0,9625304.0,10562247.0,11649040.0,12622044.0,12849137.0,11599124.0,10392675.0,10404731.0,10700994.0,10861087,11145387,11009684
New Jersey,4303078.0,4381406.0,4488334.0,4806698.0,5018276.0,5217613.0,4920786.0,4544961.0,3943171.0,3565047.0,3317720.0,3051435,2862426,2742128
New Mexico,87900.0,141300.0,149800.0,149680.0,209050.0,238310.0,244780.0,258080.0,243940.0,247350.0,248920.0,241480,241300,267499
New York,,,,192447.0,294994.0,426305.0,828205.0,947275.0,1019279.0,1087749.0,1259813.0,1802212,1925565,1898336
Ohio,,,,,,,,,,,,429826,1070662,1457634
Oklahoma,,,,,7412.0,73675.0,78698.0,92477.0,94130.0,99881.0,106229.0,113055,112853,113370
Pennsylvania,,,,,,31568.0,1039031.0,1615566.0,1964570.0,2486408.0,3025048.0,3158318,3113929,3069078
Rhode Island,253742.0,299038.0,333498.0,383829.0,410913.0,406504.0,447998.0,475040.0,461169.0,477050.0,512865.0,527959,578353,650799
South Dakota,58609.0,66277.0,70375.0,78019.0,83558.0,89828.0,98223.0,102264.0,101898.0,106187.0,100898.0,103792,99393,100509
West Virginia,438091.0,595947.0,717150.0,882450.0,931590.0,975990.0,932210.0,951210.0,905590.0,877650.0,958700.0,805518,784095,704947
